mouse_cns_E14_rep1	mouse_cns_E14_rep2	mouse_cns_E18_rep1	mouse_cns_E18_rep2
ENSMUSG00000002290	3.12	4.95	7.07	4.65
ENSMUSG00000002297	28.04	35.9	14.72	13.16
ENSMUSG00000002307	47.9	47.78	37.68	30.4
ENSMUSG00000002308	23.67	59.75	38.69	50.85
ENSMUSG00000002319	269.75	163.86	249.66	300.88
ENSMUSG00000002320	70.89	61.08	53.89	52.51
ENSMUSG00000002324	72.2	16.47	27.91	20.31
ENSMUSG00000002325	31.25	25.7	48.16	32.03
ENSMUSG00000002326	38.45	46.49	30.36	45.55
ENSMUSG00000002329	48.13	39.0	34.57	29.03
ENSMUSG00000002332	79.86	80.07	82.65	47.98
ENSMUSG00000002341	64.46	65.3	90.3	74.83
ENSMUSG00000002342	55.73	80.52	66.85	106.68
ENSMUSG00000002343	67.58	91.43	170.05	147.07
ENSMUSG00000002345	69.17	119.07	158.53	82.78
ENSMUSG00000002346	34.5	24.7	34.7	15.07
ENSMUSG00000002365	20.22	14.06	6.56	11.65
ENSMUSG00000002372	126.36	119.57	109.11	96.46
ENSMUSG00000002379	28.51	50.95	28.16	36.18
ENSMUSG00000002384	1.35	0.0	1.49	2.47
ENSMUSG00000002393	49.24	54.19	39.89	42.02
ENSMUSG00000002395	189.45	140.04	176.87	176.45
ENSMUSG00000002396	4.05	2.69	6.87	4.72
ENSMUSG00000002409	43.11	37.07	26.28	29.4
ENSMUSG00000002413	23.26	25.5	23.82	33.48
ENSMUSG00000002416	159.17	131.85	153.91	292.94
ENSMUSG00000002428	17.85	15.96	11.14	18.32
ENSMUSG00000002455	34.94	47.79	32.53	28.28
ENSMUSG00000002458	64.9	79.0	96.7	122.38
ENSMUSG00000002459	19.17	10.34	15.66	25.55
ENSMUSG00000002475	2.09	0.0	0.0	8.37
ENSMUSG00000002477	161.65	189.83	217.8	148.19
ENSMUSG00000002486	43.49	66.85	18.24	16.87
ENSMUSG00000002489	28.1	8.31	25.09	16.22
ENSMUSG00000002496	51.78	55.61	43.43	40.56
ENSMUSG00000002500	0.0	0.0	0.0	3.31
ENSMUSG00000002504	15.77	26.97	38.76	44.33
ENSMUSG00000002524	237.51	266.66	267.0	239.34
ENSMUSG00000002546	50.25	52.28	61.39	38.8
ENSMUSG00000002550	73.0	99.4	77.13	94.15
ENSMUSG00000002565	7.52	0.0	0.0	0.0
ENSMUSG00000002578	14.47	28.31	14.84	14.65
ENSMUSG00000002580	94.04	171.39	194.0	192.78
ENSMUSG00000002588	0.0	0.0	0.0	0.0
ENSMUSG00000002602	46.63	28.17	9.07	23.59
ENSMUSG00000002603	7.32	1.38	8.14	1.41
ENSMUSG00000002608	80.25	80.02	44.66	47.48
ENSMUSG00000002617	7.57	15.61	21.68	24.63
ENSMUSG00000002625	125.65	110.73	93.06	89.91
ENSMUSG00000002633	4.45	3.28	3.27	1.12
ENSMUSG00000002635	48.92	66.16	61.43	45.54
ENSMUSG00000002658	91.63	90.59	61.29	121.77
ENSMUSG00000002660	124.42	112.87	113.4	126.97
ENSMUSG00000002661	15.4	22.54	39.83	38.74
ENSMUSG00000002664	0.0	0.0	0.0	0.0
ENSMUSG00000002668	3.18	7.05	3.51	2.4
ENSMUSG00000002679	42.87	50.3	27.13	53.32
ENSMUSG00000002688	10.32	10.68	4.56	6.22
ENSMUSG00000002699	3.67	2.71	7.82	0.0
ENSMUSG00000002718	61.16	63.37	75.76	61.47
ENSMUSG00000002728	116.97	75.05	71.95	99.37
ENSMUSG00000002731	63.38	86.43	99.15	88.51
ENSMUSG00000002732	11.15	12.22	0.0	4.89
ENSMUSG00000002733	9.49	15.18	12.23	13.11
ENSMUSG00000002741	90.2	88.74	100.32	116.56
ENSMUSG00000002748	62.28	70.69	44.19	45.01
ENSMUSG00000002763	53.88	42.44	48.92	51.58
ENSMUSG00000002767	57.6	51.97	56.75	40.12
ENSMUSG00000002768	97.69	117.57	82.89	138.82
ENSMUSG00000002769	0.0	8.21	0.0	12.72
ENSMUSG00000002771	27.26	24.41	25.71	29.3
ENSMUSG00000002778	131.04	168.01	152.6	162.5
ENSMUSG00000002781	15.84	21.87	20.02	23.44
ENSMUSG00000002791	0.0	0.0	0.0	0.0
ENSMUSG00000002797	0.98	1.45	1.08	11.41
ENSMUSG00000002799	33.55	21.97	39.13	23.83
ENSMUSG00000002803	23.85	27.85	29.86	40.45
ENSMUSG00000002804	24.8	54.3	20.65	23.4
